all_words,count
做事,5
优秀,8
成功,40
忘记,18
失败,13
未来,41
梅西,9
伤,25
下场,2
zRh4Ulz,1
巴萨,6
客战,1
阿尔,1
梅里,1
亚,2
进球,9
分钟,91
感到,15
右腿,1
膝盖,1
上方,1
舒服,4
表情,16
严峻,1
场边,1
做,211
换人,1
手势,2
换下,1
场,9
下半场,3
替补席,2
平托,7
有说有笑,2
轻松,9
做鬼脸,2
伤情,2
西媒,1
曝梅西,1
休战,1
约,27
周,13
zRhcIca,1
节目,21
礼物,16
一句,34
饱含,3
深情,2
祝福,26
苗圃,1
生日快乐,13
蛋糕,17
拥有,46
争宠,1
得意,8
地笑,7
送给,10
健康,43
平安,13
相声,4
演员,31
侯耀华,2
发,27
我发,2
建嵘,6
叫托尼,1
英国人,10
卖掉,1
英国,58
老家,1
三个,22
庄园,2
两辆,1
跑车,5
来到,19
中国,557
西安,15
流浪汉,2
包子,2
干,18
流浪人,1
每周,7
五星,1
街,2
一间,4
简易房,1
领走,1
免費,2
晚餐,4
几个,36
一碗,2
稀饭,1
评,14
扶危济困,1
慈善,9
做秀,1
文史,1
女,96
教师,9
晚安,111
出生,13
原创,6
可悲,1
渐渐,4
盗版,11
杜,3
拉拉,2
升职,1
记,195
akx9r4,2
微言大义,2
想要,28
生,25
两个,81
小孩,92
岁,263
前生,1
完,43
相差,6
三岁,17
得生,1
第一个,79
怀孕,7
想,153
二人,6
世界,154
两年,18
结婚,55
订婚,5
家长,31
旅行,13
婚礼,12
一年,36
前要,3
拍,81
拖,10
紧迫,1
纹身,2
犀利,5
杨慧峰,4
央视,71
员工,24
爆料,49
广西,22
惊现,13
帝王,7
局长,23
安,18
民政局长,6
黄某,6
吃,208
509,7
份底,6
保,8
九套,6
房子,16
老婆,27
刘茹,6
偷情,8
不服,8
报料,10
后宫,6
电话,60
江素,6
15078554853,6
黄鹂,6
18777887596,6
张晓,6
15078070889,6
阿萍,6
13478865543,6
丽丽,6
13877860659,6
第二轮,6
反腐,22
速速,13
顶起,7
城管,108
赶走,6
路边,21
卖,44
动物,49
小贩,24
活活,15
踩死,5
收摊,5
慢,9
点,142
摔死,11
小狗,13
小兔子,10
乌龟,6
宠物,31
鼠,6
踩扁,5
嘴里,12
踩,31
鲜血,7
好多,15
摔成,5
一团,6
管理,29
珍惜,21
生命,96
俄一,1
因挤,1
上车,2
获赔,3
俄罗斯,21
法庭,9
近日,62
裁定,1
一家,38
城铁,2
运营商,18
赔偿,22
一名,78
乘客,23
约合,2
人民币,24
1500,3
元,320
原因,50
这名,13
高峰,3
期间,23
车站,2
滞留,6
小时,93
挤上,1
列车,4
称,134
等候,3
动弹不得,1
遭,40
挤来挤去,1
法官,8
认定,6
没为,1
提供,32
优质服务,1
俄新社,1
参考消息,1
双休日,14
来历,3
1994,6
美,24
入世,6
谈判,12
艰难,6
时刻,12
美方,3
中方,8
提出,17
全世界,24
实行,22
尊重,13
一项,11
条件,11
1995,5
日后,7
我国,15
工作制,4
❤,11
喜欢,144
关注,125
神秘,9
野史,2
阿婆,5
厕所,14
捡,40
婴儿,22
计生,7
干部,20
查获,17
刘,7
从乡,3
财政,9
粪便,4
中将,6
捞起,4
简单,44
清洗,10
剪,7
脐带,3
打针,13
消毒,6
妥当,3
正给,3
水时,3
武汉,32
黄陂区,3
蔡店,3
乡,14
计生办,3
夺走,5
掼,3
地上,10
脚踢,3
放,24
稻田,3
里,166
淹,4
群众,14
公愤,3
弃婴,4
本是,3
村民,23
黄,7
求生,1
家,56
超生,1
子,14
zjyYNje,2
图看,1
天下,13
北京地铁,7
拥挤,3
挤成,1
照片,86
相片,5
饼干,9
面粉,4
形容,3
夸张,6
语言,6
诙谐,1
幽默,5
悲喜交加,1
出自,9
生存,5
手册,1
网上,29
热帖,2
新线,1
开通,8
客流量,1
持续,16
攀升,2
地铁,8
族,3
一支,10
数百万,2
庞大,1
队伍,7
经济,21
参考报,1
意媒惊,1
曝恒大,1
追,6
卡卡,4
年薪,4
1800,2
万欧,1
三年,8
合同,6
zOFNbuR,1
意大利,8
足球,8
新闻网,8
恒大,5
巴黎,5
圣日耳曼,1
争夺,4
阵营,1
开出,3
万,104
欧元,4
皇马,6
月份,4
到期,7
900,4
记住,33
轮奸,63
律师团,37
领队,17
法律,41
大学,83
副校长,20
张,39
爱国,35
教授,34
媒体,87
李,101
天一,53
因是,11
被害,19
发生,138
关系,38
罪,33
判罚,20
较轻,20
强奸罪,36
批捕,37
成员,26
共同努力,17
兽,3
据传,6
微信,97
收费,93
包月,10
收发,5
条数,9
条,102
免费,57
600,25
1200,22
超过,34
每条,6
0.02,5
联通,17
暂,9
产品,44
新,119
入网,5
用户,38
赠送,10
为期,20
流量,25
送,75
500M,5
国内,39
超出,7
0.0003,5
KB,5
电信,20
接洽,5
笑容,9
Haroo,1
更新,18
KBS,1
演出,13
图,54
zjp3zEG,1
偶,8
hold,2
住,20
明天,52
辛苦,16
TTTTTT,1
块钱,5
特警,7
暴打,2
司机,43
随即,1
一招,1
KO,1
貌似,3
死,123
外面,8
别太横,1
BOSS,3
zlznn1p,1
苹果,50
开发者,1
大会,4
一朵,1
云,3
多个,11
设备,8
乔帮主,2
讲解,3
核心,4
效果,8
存储,1
内容,22
推送,2
iCloud,2
全自动,1
MobileMe,1
重写,2
乔布斯,1
演示,3
联系人,3
日历,1
Mobileme,1
美元,16
变为,4
乐意,1
嘻嘻,23
随手,8
烟台,4
生活,95
公园,11
板凳,4
坐前,3
投币,3
钉子,4
.....,16
提醒,42
谨防,3
宝宝,28
拐,8
天津,12
阿姨,8
邻居,6
儿子,63
超市,34
付账,3
片刻,4
发现,138
不见,10
保安,24
求助,8
力,14
对讲机,3
通知,24
关闭,9
入口,3
排查,4
头发,24
剃,3
衣服,54
换,11
人贩子,14
团伙,12
恐怖,27
外出,6
谨慎,13
技术员,1
杨继思,1
辅导,1
作业,7
一道,3
奥数,1
题,4
难住,1
一部,11
八成新,1
三星,49
S4,2
充满,11
电,21
桌上,4
自然,25
耗光,1
问,71
一半,18
电量,2
充电器,3
插上,1
多长时间,4
会因,2
没电,3
自动关机,1
飞鸟,1
毛毯厂,1
友情,7
转发,262
招聘,12
整天,5
胡思乱想,3
踏实,2
干活,5
网页,4
设计,31
经验,15
知人,1
有信,1
作品集,2
少,33
掺点,1
假,8
月薪,5
6K,1
工作,74
可给些,1
额外,3
甜头,1
舍得,2
网招,1
助理,12
53844567,1
qq,3
美女,14
找人,1
帮转,2
主席,15
捐款,40
雅安,51
总人口,4
153,4
富士康,4
三家,5
总共,5
加,29
亿,57
6000,17
平均,13
分给,6
105,5
万左右,4
缺,14
物资,6
缺钱,4
地方,54
组织,34
学校,42
圈钱,3
钱,84
真的,111
加多宝,4
集团,17
一个亿,8
老百姓,10
易拉罐,5
吸管,7
妇女,46
罐,8
进,36
医院,71
离开,38
验尸,4
死于,4
於,8
细,10
螺旋体,8
病,11
追踪,4
用罐,4
嘴,12
饮用,4
实验,15
证明,23
罐头,7
鼠尿,8
感染,14
病毒,9
毒性,12
致命,9
物质,15
运输,10
过程,26
研究,34
显示,23
毒菌,3
关心,16
剑网,7
安史之乱,1
##,17
源明雅,2
庆祝,19
版本,9
赶工,1
装备,3
晚上,41
点前,1
能发,1
CN,3
落雨,1
摄影,20
弥优,2
服装,10
化妆,9
后期,1
自理,2
正太,2
逆袭,3
大饼,2
脸,16
十年,10
青年,22
官方,31
有爱同,2
人秀,2
制作,13
郭炜炜,1
星,18
娱星乐,12
放开,1
样子,21
早睡早起,2
感动,39
萌翻,8
地震,70
一只,82
害怕,29
熊猫,39
死死地,11
抱住,17
警察,65
叔叔,20
腿,24
心,132
网传,20
台湾,35
领导人,4
国民党员,1
李登辉,9
心脏病,18
去世,25
特别,37
痛恨,1
阻碍,6
两岸,3
统一,15
另有其,1
支持,53
独立,16
只不过,3
维护,4
利益,10
同意,10
做法,14
置,1
出发点,1
对岸,2
同行,7
太多,7
从前,6
老梦到,1
分开,3
这么久,1
整夜,2
梦见,4
羡慕,7
不嫉妒,1
天天,21
粘,1
情侣,6
时间,143
兴趣,12
精力,4
跨过,1
两地,3
时差,1
生气,10
吵架,5
发脾气,2
闹,8
分手,23
我能,7
起风,1
裹紧,1
外套,2
不停,14
读书,17
参加,52
活动,49
背,7
单词,1
好好,31
减肥,6
希望,93
哪一天,1
资格,14
不容置疑,3
姿态,1
站,38
调查,63
地沟油,41
李翔,19
身中,18
余刀,16
惨死,16
全国,75
特供,18
十多亿,14
食品安全,19
努力,66
付出,32
年轻,46
请动,13
鼠标,18
表达,20
谢意,15
王克勤,2
王跃文,2
薛,8
蛮子,9
张国荣,17
真实,31
死因,7
逝世,8
十周年,4
生前,7
好友,39
兼,7
经纪人,8
陈淑芬,4
保守,6
秘密,18
媒体报道,7
系,24
他杀,4
警方,67
旺角,4
犯罪,7
嫌疑人,20
周峰国,8
抓获,10
抓捕,4
只用,8
证据,11
杀,16
有车,4
加油,30
员,8
小动作,4
英雄,24
赵,14
红霞,5
被判,10
当年,21
我爸,4
李刚,6
红遍,1
李启铭,3
爆,12
出狱,5
刑期,1
关,5
重出江湖,1
现实,24
猜想,5
大幅度,2
减刑,2
当初,6
计划,12
面前,18
平等,3
民众,11
受伤,22
威严,3
何在,15
人民网,14
失联,9
航班,20
冒充,1
混,7
飞机,36
详见,14
截图,10
贾静雯,4
首,2
曝,23
女儿,47
正面,5
亲嘴,2
庆生,2
生日,31
当晚,6
微博中,5
晒,12
一张,43
温馨,4
几张,3
绘画,3
作品,17
感叹,7
平淡,5
快乐,41
爱女,1
梧桐,2
妹,6
首次,18
曝光,44
详情,28
zlp4EKG,1
新娱,14
挺起来,1
网易,8
跟贴,2
揭秘,3
壹,9
基金,10
怎成,1
主渠道,1
zTisZcR,1
客户端,5
回龙观,1
赶紧,26
检查一下,4
家里,40
牙膏,63
黑色,43
扔掉,4
买,104
牙膏管,12
反面,13
底部,20
颜色,35
条有,6
含义,7
选择,46
绿色,42
蓝,22
共分,11
纯天然,14
蓝色,38
天然,51
药物,32
红色,44
化学成分,11
化学,38
罐子,1
转自,5
遐想,1
叶子,2
东海舰队,5
徐州,6
号,106
护卫舰,8
一艘,4
宋级,2
柴电,2
常规,3
动力,4
潜艇,4
两艘,3
海监,4
船,8
钓鱼岛,36
海域,7
日本,178
金刚,6
足,7
柄,5
宙斯,5
盾级,5
驱逐舰,8
根号,5
发生冲突,2
最新,44
击中,5
沉没,8
受创,5
返航,5
途中,20
海上,7
自卫队,7
派出,7
救援,16
海军,22
3.16,1
故事,30
CCTV,15
一批,6
红马甲,2
周末,10
315,4
企业,43
采访,40
逼宫,2
收到,44
大众,4
团,14
反问,10
纸媒,4
没收,10
妻子,17
猎豹,2
袭击,6
丈夫,11
拍照,12
未,28
营救,1
每日,19
邮报,9
报道,113
德,14
梅洛,3
前往,10
南非,1
野生动物,4
保护区,1
度假,1
遭遇,8
两只,4
从头到尾,1
只顾,2
拍摄,32
遇袭,2
未施,1
援手,2
呼救,1
工作人员,12
游客,29
将德,1
救起,7
zOQ2qa6,1
男儿,2
当自强,1
男孩,20
暑假,7
挣,9
学费,13
家境贫困,1
赚,10
入学,2
重庆,63
陈柯宇,2
天,55
收获,11
3000,15
报酬,1
外,6
学会,29
尽责,1
礼,5
感悟到,1
不易,10
发奋,1
母亲,22
好日子,2
新生,8
做好,12
z8zMe1q,1
俄媒,4
客机,5
印度洋,4
基地,12
迭戈,4
卡西亚,2
岛,10
吃惊,43
俄军方,1
姓名,5
人仕,2
信息,53
藏,7
机库,2
前建,1
停,19
B52,1
大型,11
机体,1
无非,3
勒索,1
倒,21
俄,11
8s2LJo1,1
距离,30
唐山仅,1
公里,16
青龙,2
县委书记,8
1976,1
唐山大,1
前夕,2
顶,9
摘,1
乌纱帽,1
风险,5
板,6
全县,3
预告,14
灾情,3
青龙县,1
全,14
赶到,7
室外,2
唐山,3
全城,2
毁灭,5
万人,17
毁坏,2
房屋,4
1.8,1
万间,1
坍塌,5
7300,2
余间,1
万幸,2
伤亡,6
权力,18
救,21
冉广岐,1
常凯,1
淇,1
爸爸,60
410494910,1
2012,47
帮忙,84
陈晨,1
两岁,2
刚出,1
锅,8
油,16
烫伤,2
送到,8
医生,37
情况,37
危险,18
花费,7
五十万,1
急需,3
好心人,18
互动,18
每位,2
网友,151
分钱,5
支助,1
多一人,1
多一份,5
帮帮,8
可怜,44
小男孩,7
好人,18
终有,1
报,36
湖南卫视,4
歌手,20
某位,1
观众,18
哪位,4
唱,14
妹妹,14
情感,11
细腻,1
内心,9
柔软,1
哪家,4
白事,1
办完,1
跑,33
来录,1
泪光,1
一帮,1
气,7
扎堆,1
翻唱,3
触及,1
灵魂,9
立白,1
洗衣粉,2
呛,2
眼睛,23
这哭,1
一回,2
zYZCzPj,1
1993,2
2013,101
听,52
乐话,1
星空,2
记忆,13
永远,49
碰,5
只好,6
窗,1
堵,11
刷,4
白漆,1
改成,4
墙,1
一首,9
歌,13
幻想,12
姑娘,46
轻声,2
相距,1
遥远,4
呼唤,4
放下,15
Super,1
Hero,1
只爱,1
钢铁,4
侠,4
今晚,33
DIY,3
图案,4
刀模,1
搜图,1
凭感觉,2
画,12
修改,4
N,3
次,35
原版,1
基础,5
糙汉,1
牛,22
B,8
哈哈哈,24
Alienware,1
外星人,5
大明,1
狐,1
coser,5
夜枫,1
杨曰磊,1
叮,1
久,17
越来越,23
男,62
随便,9
变,26
宠,5
没变,2
亲密,3
习惯,23
热恋,1
胡想,1
无论如何,4
爱情,41
偷懒,1
矛盾,7
争吵,3
福建省,17
泉州市,17
警察局,10
抓,28
拐卖,13
犯罪团伙,12
现场,90
获救,17
云南,30
昭通市,11
麻烦,16
转告,22
家人,38
公安局,18
来接,5
动动手,6
指头,4
哭,46
回去,13
实在,35
福州,10
城事,2
通缉,2
逃逸,3
寻求,6
目击者,4
六一路,1
东大路,1
交叉口,1
惨烈,14
车祸,11
事故,11
死亡,54
脑浆,1
惨不忍睹,1
肇事者,1
逃跑,16
下落不明,11
马赛克,9
说疑,1
部队,10
大车,1
遮牌,1
粉丝,42
帮,40
扩散,70
世纪,11
佳缘,2
欺诈案,1
一石激起千层浪,1
黑幕,2
网花,1
女方,9
情书,2
竟是,4
系统生成,1
hDHc8G,1
线下,2
红娘,1
宰客,1
婚托,1
hDYAG6,1
假缘,1
hgk0wc,1
无照经营,1
ao0Oth,1
深圳,35
查封,1
hgdrLp,1
吊销执照,1
hDi8Ox,1
夜读,6
著书立说,1
强闻,1
博记,1
花,34
四处,1
游荡,1
千方百计,3
忘掉,3
头脑,2
所学,2
东西,73
知识,14
缓慢,2
困难,10
灌输,1
有用,5
算得,1
一种,98
开蒙,1
法,4
安德烈,1
纪德,2
人间,17
食粮,1
版,39
新华字典,8
高中,9
白学,6
地壳,12
qiao,6
改为,22
ke,6
e,8
房,14
pang,12
宫,13
a,13
fang,6
心宽体胖,12
pan,6
衰,35
日起,16
施行,25
罚,116
酒驾,37
年内,36
考取,29
驾照,30
不系,42
安全带,77
驾不系,32
行驶,59
拨打,33
抽烟,39
有意,31
遮挡,28
号牌,28
顶额,24
处罚,47
驾驶,36
堂,6
路演,3
堂舞林,1
争霸,1
冠军,10
张傲,2
一路,33
走来,5
没想到,8
六一,3
儿童节,4
王府井,5
东安市场,1
真人,2
跳舞,5
粉们,4
收图,2
体验,14
期待,24
惊喜,5
大奖,6
延安,12
双脚,1
跳起,1
头,13
之妻,1
视屏,1
中穿,1
黄色,10
上衣,4
躺,10
装死,1
遭人肉,6
相册,8
破解,7
艳照,9
流出,7
图片,39
制,8
尺度,4
未成年人,2
勿,5
资料,13
网络,57
不负,2
文责,1
含泪,2
揭露,24
幼猴,8
紧紧,13
搂住,8
活取,8
猴脑,9
妈妈,63
地球,16
金钟奖,1
音超,1
杨宗纬,4
好不好,3
月光,3
安静,5
地站,1
灯光,4
瞬间,21
气氛,2
火爆,4
和尚,4
雯婕,1
截然不同,1
力量,33
打动,2
唱到,1
为难,3
评委,5
难管,1
选手,25
主场,3
范儿,4
齐帅,1
实习生,1
何润,1
萱,1
尖子生,2
成,44
精英,2
班级,1
排名,13
名到,1
名,62
人际关系,3
更好,9
第一名,4
压力,31
学习,18
创见,1
邪恶,8
衍生,3
剧,13
改名,4
女主角,11
CW,1
血统,3
Supernatural,1
Bloodlines,1
Melissa,1
Roxburgh,1
该剧,8
描述,6
芝加哥,3
城中,1
恶魔,3
猎人,1
灵异,2
生物,2
之间,24
永无休止,1
战争,16
试映,1
集将,1
集,15
父亲节,5
专,1
欢乐,16
节日,8
舒展,1
疲惫,5
臂膀,1
卸下,1
肩上,1
重担,1
放缓,1
职,1
场上,2
匆忙,2
脚步,4
广州,58
塔,7
尽情,2
享受,21
一段,19
悠闲,4
活力,2
之旅,4
新浪,84
广东,25
评论,32
本条,8
微薄,3
三位,10
父亲,42
既有,2
机会,28
登塔,2
登上,13
最高层,2
夜景,2
冷笑,4
话,65
同心,1
实验学校,1
小盆友,1
爱绿,3
志愿者,12
学,17
科普,6
西门子,1
研究院,1
博士,6
蜀黍,1
带领,3
利用,18
金属,3
探针,1
发电机,1
巧加,1
充电,8
清洁,4
能源,2
有知,1
估计,12
对儿,1
水果,13
组合,11
会心,2
乐,8
周杰倫,1
圖訊,1
這位,1
周老師,1
好笑,1
挖,21
鼻屎,14
還是,4
萌,9
可愛,2
总裁,4
伤不起,6
谭昊,1
京城,4
著名,16
公募,1
总经理,4
一口气,6
投资者,2
回来,43
这家,5
200,44
多万,12
持有人,1
年间,5
亏损,2
173,1
投研,1
部门,36
唯一,36
赔,9
死不瞑目,1
此刻,7
病中,1
刘翔,63
中戏,1
戏,3
免试,1
民族英雄,1
开车,34
今天下午,17
六点,15
全市,5
高清,27
探头,13
启用,6
副驾驶,17
打电话,24
罚款,32
闯,27
黄闪,4
越线,13
停车,14
晚,12
深夜,22
查处,13
一经,13
一律,12
拘役,12
六个月,11
考证,13
相互,15
​,72
萌死,2
偿命,1
猫咪,16
馆,13
懒洋洋,1
叹个,1
下午茶,2
主题,9
餐厅,4
小店,2
可爱,28
供,3
玩耍,5
蜷缩,1
沙发,2
慵懒,1
地晒,1
晒太阳,1
喝咖啡,2
吃点,4
看看书,1
错过,13
编为,1
整理,11
七家,1
收藏,6
详情请,7
戳,19
玻璃心,1
虐狗,1
服从性,1
训练,13
行,12
你家,7
狗狗,25
满屋子,1
擦,9
屎,5
尿,11
溜达,1
撒手,1
半夜,7
乱叫,1
吠,1
爱宠,1
点个,2
赞,16
上次,2
狗,46
主人,23
狗头,1
上放,1
鞋子,9
批判,3
玻璃,5
心伤,1
泪,73
今天上午,24
市民,21
循,2
礼门,3
大润发,16
拐走,13
小女孩,29
准确,12
说出,16
手机号码,13
监控,16
一个四十多岁,11
抱,37
走,130
大人,17
疯,27
知情者,14
请告,9
万分,9
感谢,63
重视,6
关山,2
南湖,1
类似,7
拐卖儿童,1
流窜到,1
汉,1
上海,85
启动,21
驾驶室,7
黄闪罚,9
每月,15
省厅,5
带队,6
检查,26
每周五,5
六由,3
市局,5
广告,35
害死,7
小学生,1
死囚,10
哈里斯,4
死刑,16
惯例,5
前点,1
牛排,1
鲟鱼,1
红酒,6
患有,4
高血压,6
酒精,9
引发,26
脑,4
猝死,5
将狱,1
方告,1
活价,1
350,7
万美元,18
狱方,1
败诉,1
捐给,6
公益,11
摘自,1
报刊,1
文摘,1
3268,1
期,15
娶,10
腐女,1
理由,21
生理,3
心理,7
丝,2
毫不逊色,1
配备,3
敏锐,2
洞察力,1
想像力,1
海纳百川,1
包容心,1
轨迹,2
限于,3
电脑,20
厕所间,1
费电,1
费钱,2
不喜,1
吃醋,5
耍,3
心计,2
劈,2
对象,17
沿路,1
洒花,1
拱手相让,1
珍稀,1
物种,1
遇见,20
发财,3
通完,1
堵死,1
一万二,1
平米,2
市价,1
只补,1
四千,1
拆迁,9
轮,5
头上,6
理解,25
磕,1
无力感,1
抢,11
华政慢,1
讯,28
丨,6
昨晚,22
我校,3
操场,2
上演,11
一场,28
浪漫,13
求婚,15
玫瑰,2
经济法,1
毕业,10
男主,2
四年,9
陪伴着,2
走过,6
六个,2
半年,7
炸鸡,3
店,7
服务员,5
男女,12
主,7
她家,4
喜庆,1
movie,1
ordie,1
媒介,2
君,16
搜集,2
水印,2
随意,6
瞧瞧,1
同事,23
表妹,1
同学,60
各位朋友,3
谢谢,42
zQUx6Kc,1
离散数学,1
要诀,1
惊奇,1
男生追,2
女生,33
接受,34
男生,26
最差,2
主动,16
追求,13
结论,4
事实,7
教导,2
表白,8
全文,13
zlH3hgb,1
口,11
小辣椒,1
这段话,1
想法,10
女人,60
Richard,2
Nicoll,1
尊贵,1
女士,14
iPhone,19
蓝牙,8
手袋,5
中有,3
放置,1
间隔,1
内接,1
一颗,24
高容量,1
充,1
电池,3
tablet,1
足够,5
几天,33
外有,1
LED,4
灯,1
吊饰,1
接驳,1
来电,2
时便,1
会作,1
闪动,1
有否,1
讯息,1
未接,1
电池容量,1
第一家,3
麦当,1
1992,2
麦当劳,2
快餐厅,1
王府井大街,1
南口,1
开业,5
系统,27
开设,1
700,3
座位,3
台,13
收银机,1
馋嘴,4
小时候,6
第一次,15
吃麦,1
当当,2
回忆,13
lapush,1
级,19
社会工作者,1
幸运,14
社工,4
发展,15
模式,13
现状,1
罗观,1
翠,1
是从,3
内地,20
事业,10
奠基人,1
中大,1
镇校,1
之宝,1
讲座,5
算是,5
社会工作,1
学期,2
画个,1
句号,3
河北大学,2
放大,4
招,6
同班,2
可住,2
寝室,9
韩国,62
仁川,7
市长,17
朴泰桓,10
亚运会,6
战胜,7
孙杨,10
举办,14
城市,52
市,13
宋,5
永吉,2
伦敦,28
考察,2
市政府,6
时称,2
奥运会,12
体育场,4
失望,12
雪耻,1
传达,3
体协,2
zWCe5Na,1
波士顿,19
爆炸,26
facebook,2
炸断,2
双腿,7
一脸,5
平静,8
原本,17
残疾,3
驻,3
伊,3
士兵,7
推测,3
行尸走肉,1
特效,3
道具,1
一小,5
烟雾,3
残肢,1
猛,4
zTff61B,1
奔,3
参与,25
哄抢,7
zTfpmnu,1
起晚,8
点半至,6
二点,9
花露水,33
属,30
易燃品,15
涂,8
完别,7
做饭,20
夏天,15
蚊子,8
需注意,8
涂抹,7
浓度,8
达,48
70%,14
75%,9
燃点,8
低,14
燃烧,14
可怕,24
动态图,6
切记,12
每次,17
迫不及待,4
地爱,2
小心翼翼,1
疼爱,1
深刻,7
难,15
安东尼,3
月星,1
家居,3
钱包,9
有卡,2
数张,2
现金,3
一千二,1
北,2
火车票,21
名字,30
刘学伟,2
车票,3
后天,2
失主,16
13895686886,1
祝,13
日子,20
关爱,9
宝贝,16
兄弟,11
仗义,2
主持,9
用心,3
声优,1
基本功,2
中个,1
彩票,12
解释一下,4
公历,1
农,1
十月,4
二十四,3
北方,3
农历,7
次元,1
二次元,1
迷恋,4
色相,1
最能,1
发光,1
色彩,3
代表,24
清澈,2
明亮,2
也许,40
小鸟,3
张开,4
翅膀,2
向往,2
美好生活,1
自杂,1
志,21
爱美,1
暖暖的,2
链接,6
zO9jLCS,1
虐童,1
幼师,1
疑似,9
微博骂,1
颜,2
艳红,1
反省,2
交,12
5000,16
姐,2
交完,1
没姐,1
事,99
素质,7
骂骂,1
洗澡,6
睡觉,27
搭理,2
一群,28
没教养,1
祝你们,5
早日,2
撞死,1
绯言,1
绯语,1
对不起,13
呜呜,7
求求,2
别哭,1
迪,2
天长地久,3
但求,3
伤心,17
公平,12
吃饭,17
文某,1
赶忙,1
关掉,1
手里,5
电吹风,5
洗手间,6
早晚,2
安徽,16
淮南,2
三四岁,1
在外,6
逛街,5
转眼,1
虏,1
半个,6
女孩,76
内脏,8
送往,8
拒绝,20
接收,5
合肥,3
不知,20
撕心裂肺,1
哭声,3
肯德基,5
情人节,6
点餐,1
套套,1
尴尬,9
儿童,25
需要的话,1
店员,1
安全套,1
VIP,5
Fantastic,1
Babys,1
写真,2
逗,1
开心,43
杨澜,13
昨天,37
籍,19
身份,24
理直气壮,4
地说,12
我入,6
出身,9
原产地,5
角度,8
出席,18
两会,23
天经地义,4
突发,14
5.7,2
三里屯,3
头条新闻,7
双色球,1
117,1
注,2
一等奖,2
每注,1
奖金,6
518,1
独揽,1
110,5
南路,2
105882,1
投注站,1
得主,4
超越,15
5.65,1
第一,47
zWPAJ9n,1
红十字会,34
贪污,13
石原,3
太慎,1
不慎,5
天断,1
太君,1
民族主义,1
头子,1
国有,3
购买,51
发起者,1
南方,12
精神,17
偶像,17
石原慎太郎,1
延启,1
爬山,1
坠崖,1
军国主义,1
这回,3
真,51
绝后,1
抬头,5
致哀,1
低头,2
偷着乐,1
系会用,1
方式,48
悼念,2
ttp,1
zWdeAa0,1
休假,5
蒙牛,15
生产,27
良心,23
奶,7
三鹿,3
奶粉,20
厉害,16
倍,27
大闸蟹,16
至少,29
长到,3
二两,3
江苏,29
养殖场,5
激素,11
蟹,6
下苗,3
养成,6
上市,15
周刊,14
买回来,4
螃蟹,3
标准,47
检定,3
中心,34
化验,6
蟹肉,3
多种,9
人体,12
有害,6
抗菌素,7
等待,18
女友,41
马拉松,14
结束,46
惨遭,9
丧生,9
人守,3
温暖,23
心间,3
没说,3
活着,22
蜡烛,90
湾仔,10
